menu_item_name,menu_item_description,menu_item_price,menu_item_sizes,menu_group
"Chicken Wing Dinner","",7.25,"[]","5383d2e5620d457b70000009"
"Gyro Plate","",7.25,"[]","5383d2e5620d457b70000009"
"Chicken Finger Plate","",7.25,"[]","5383d2e5620d457b70000009"
"3-Piece Chicken Dinner","",7.25,"[]","5383d2e5620d457b70000009"
"Chicken Kabob Plate","w/ rice, salad & pita bread",7.85,"[]","5383d2e5620d457b70000009"
"Pasta With Sauce","",5.4,"[]","5386981fd5503c0715000005"
"Pasta With Sausage","",6.45,"[]","5386981fd5503c0715000005"
"Pasta With Meatballs","",6.45,"[]","5386981fd5503c0715000005"
"Pasta With Veal","",7.25,"[]","5386981fd5503c0715000005"
"Pasta With Chicken Cutlet","",7.25,"[]","5386981fd5503c0715000005"
"Vegetarian Calzone","",7.35,"[]","53869cc2e050e85615000008"
"Sausage Calzone","",7.35,"[]","53869cc2e050e85615000008"
"Ham & Cheese Calzone","",7.35,"[]","53869cc2e050e85615000008"
"Chicken Cutlet Calzone","",7.35,"[]","53869cc2e050e85615000008"
"Grecian Calzone","w/ fresh tomatoes, spinach & feta",7.35,"[]","53869cc2e050e85615000008"
"Turkey Club Wrap","w/ cheese, lettuce, tomato, onions & mayo",4.95,"[]","53869f48e4994b8715000007"
"Chicken Cobb Wrap","w/ bacon, cheese, lettuce, tomato, onions & honey mustard",4.95,"[]","53869f48e4994b8715000007"
"Greek Supreme Wrap","w/ feta cheese, black olives, lettuce, tomato, onions & Greek dressing",4.95,"[]","53869f48e4994b8715000007"
"Crispy Chicken Wrap","w/ lettuce, tomato, onion & honey mustard",4.95,"[]","53869f48e4994b8715000007"
"Steak Wrap","",4.95,"[]","53869f48e4994b8715000007"
